NB_OBJ,NB_SYS,SYSTEM_NAME,OBJ_CAT,OBJ_NAME,RA,DEC,EPOCH,PARALLAX,PARALLAX_ERROR,PARALLAX_BIBCODE,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PM_BIBCODE,RV,RV_ERROR,RV_BIBCODE,SP_TYPE,SP_BIBCODE,SP_METHOD,G_CODE,G,G_ESTIMATE,GBP,GRP,U,B,V,R,I,J,H,K,SYSTEM_BIBCODE,EXOPLANET_COUNT,GAIA_DR2,GAIA_EDR3,SIMBAD_NAME,COMMON_NAME,GJ,HD,HIP,COMMENT
432,266,2MASS J17502484-0016151,BD,2MASS J17502484-0016151 A,267.60161204988,-0.269954648323506,2016,108.580902089889,0.19848228,2020yCat.1350....0G,-397.497222783127,0.21229449,197.418999939264,0.15196204,2020yCat.1350....0G,19,3,2015ApJS..220...18B,L5.5,2010ApJ...710.1142B,NIR Spec,2,18.294,,,16.678308,,,,19.98,17.33,13.294,12.411,11.849,2018AJ....155..265H,,Gaia DR2 4371611781971072768,Gaia EDR3 4371611781971072768,2MASS J17502484-0016151,,,,,...
433,266,2MASS J17502484-0016151,BD?,2MASS J17502484-0016151 B,267.60161204988,-0.269954648323506,2016,108.580902089889,0.19848228,FROM:2MASSJ17502484-0016151A,-397.497222783127,0.21229449,197.418999939264,0.15196204,FROM:2MASSJ17502484-0016151A,,,,,,,,,,,,,,,,,,,,2018AJ....155..265H,,,,2MASS J17502484-0016151,,,,,Possible M dwarf
434,267,WISEP J232519.54-410534.9,BD,WISEP J232519.54-410534.9,351.33141,-41.093072,2000,108.4,3.7,2019ApJS..240...19K,398,45,212,46,2011ApJS..197...19K,,,,T9pec,2011ApJS..197...19K,NIR Spec,20,,24.84,,,,,,,,19.745,19.216,,,,,,WISEP J232519.54-410534.9,,,,,...
435,268,L 737-9,LM,L 737-9 A,77.1483744528051,-18.1782730785827,2016,108.325409816944,0.0976161,2020yCat.1350....0G,503.594094672338,0.065193176,-1399.63179561695,0.08250191,2020yCat.1350....0G,33.9,1.1,2002AJ....123.3356G,M3.5,2002AJ....123.2002H,Opt Spec,3,9.05489,,10.550499,7.8416934,12.893,11.809,10.302,9.161,7.661,6.175,5.591,5.314,2015MNRAS.449.2618W,,Gaia DR2 2976507997939000064,Gaia EDR3 2976507997939000064,L 737-9,,GJ 190,,HIP 23932,...
436,268,L 737-9,LM?,L 737-9 B,77.1483744528051,-18.1782730785827,2016,108.325409816944,0.0976161,FROM:L737-9A,503.594094672338,0.065193176,-1399.63179561695,0.08250191,FROM:L737-9,,,,,,,,,,,,,,,,,,,,2015MNRAS.449.2618W,,,,L 737-9,,,,,Possible M dwarf
437,269,LP 776-46,LM,LP 776-46,75.8326222351371,-17.3755100856729,2016,108.273247014755,0.039790057,2020yCat.1350....0G,-228.287154866008,0.025345061,-444.685087285382,0.02708879,2020yCat.1350....0G,15.467,0.0019,2018A&A...616A...7S,M3,2002AJ....123.2002H,Opt Spec,3,10.561693,,11.983716,9.384994,14.612,13.371,11.735,10.603,9.192,7.819,7.242,6.936,,,Gaia DR2 2976850598890038784,Gaia EDR3 2976850598890749824,LP 776-46,,GJ 3325,,HIP 23512,...
438,270,LP 469-67,LM,LP 469-67,30.5646358161458,10.3359579013296,2016,108.258242760882,0.057761323,2020yCat.1350....0G,-673.639007789484,0.07145263,-280.585052614388,0.053099472,2020yCat.1350....0G,20.021,0.0115,2014MNRAS.439.3094B,M5.5,2015A&A...577A.128A,Opt Spec,3,13.43526,,15.908454,12.034747,,,,15.711,,9.842,9.254,8.928,,,Gaia DR2 2571094283835172736,Gaia EDR3 2571094283835172736,LP 469-67,,GJ 3128,,,...
439,271,gam Pav,*,gam Pav,321.611715812494,-65.3626399731515,2016,108.010205638928,0.10606345,2020yCat.1350....0G,80.8152472841693,0.079900935,800.572689385618,0.09307411,2020yCat.1350....0G,-30.7,0.15,2010A&A...521A..12M,F9,2006AJ....132..161G,Opt Spec,3,4.0891333,,4.349649,3.644071,4.57,4.7,4.22,3.75,3.45,3.27,2.98,2.91,,,Gaia DR2 6401464693866921472,Gaia EDR3 6401464693867773568,gam Pav,,GJ 827,HD 203608,HIP 105858,...
440,272,G 112-50,LM,G 112-50,117.978968370669,-0.006769120798189,2016,107.848785961341,0.04206865,2020yCat.1350....0G,263.542912898262,0.04552859,-756.86338177668,0.03306462,2020yCat.1350....0G,93.821,5.743,2015ApJS..220...16T,M4.5,2014AJ....147...21J,Opt Spec,3,11.653467,,13.479244,10.363374,15.86,14.95,13.26,11.9,10.17,8.496,7.939,7.661,,,Gaia DR2 3085716990368639744,Gaia EDR3 3085716990368639744,G 112-50,,GJ 1103,,,GJ 1103 is single 2019AJ....157..216W the candidate companion is a background star
441,273,HD 102365,*,HD 102365 A,176.620520576366,-40.4985651456299,2016,107.302433856228,0.08731465,2020yCat.1350....0G,-1530.97051047993,0.06000649,403.286574863904,0.07325505,2020yCat.1350....0G,16.947,0.001,2018A&A...616A...7S,G2,2006AJ....132..161G,Opt Spec,3,4.701676,,5.0517116,4.195356,5.65,5.55,4.88,4.35,3.97,3.74,3.37,3.31,2010ApJS..190....1R,1,Gaia DR2 5381537023379295232,Gaia EDR3 5381537023379295232,HD 102365,,GJ 442 A,HD 102365 A,HIP 57443,...
442,273,HD 102365,Planet,HD 102365 A b,176.620520576366,-40.4985651456299,2016,107.302433856228,0.08731465,FROM:HD102365A,,,,,,,,,,,,,,,,,,,,,,,,,2011ApJ...727..103T,,,,,,,,,Confirmed for now. The published radial velocity signal might be simply due to sampling
443,273,HD 102365,LM,HD 102365 B,176.627238335016,-40.4948621287064,2016,107.423732788016,0.035096146,2020yCat.1350....0G,-1534.67874965081,0.025847597,381.396361681474,0.029348876,2020yCat.1350....0G,,,,M4,2002AJ....123.2002H,Opt Spec,3,11.724745,,13.382115,10.472971,,,15.43,,,8.755,8.23,7.961,2010ApJS..190....1R,,Gaia DR2 5381537023379295744,Gaia EDR3 5381537023379295744,HD 102365B,,GJ 442 B,HD 102365 B,,...
444,274,WISE J121756.90+162640.8,BD,WISE J121756.90+162640.8 A,184.48871,16.442057,2017.9,107.4,3.5,2021ApJS..253....7K,754.9,1.2,-1249.8,1.8,2021ApJS..253....7K,,,,T9,2012ApJ...758...57L,NIR Spec,20,,24.73,,,,,,,,17.83,18.18,21.1,2012ApJ...758...57L,,,,WISE J121756.90+162640.8,,,,,...
445,274,WISE J121756.90+162640.8,BD,WISE J121756.90+162640.8 B,184.48871,16.442057,2017.9,107.4,3.5,FROM:WISEJ121756.90+162640.8,754.9,1.2,-1249.8,1.8,FROM:WISEJ121756.90+162640.8,,,,Y0,2012ApJ...758...57L,NIR Spec,20,,24.73,,,,,,,,,,,2012ApJ...758...57L,,,,WISE J121756.90+162640.8,,,,,...
446,275,2MASS J00113182+5908400,LM,2MASS J00113182+5908400,2.87473492355055,59.1392265807804,2016,107.38727063119,0.027303873,2020yCat.1350....0G,-905.721767415434,0.024964612,-1166.82631061098,0.02655277,2020yCat.1350....0G,-45.318,5.372,2015ApJS..220...16T,M5.5,2015A&A...577A.128A,Opt Spec,3,13.467986,,15.901472,12.079866,,16.7,15.68,14.9,12.01,9.945,9.393,9.093,,,Gaia DR2 423027104407576576,Gaia EDR3 423027104407576576,2MASS J00113182+5908400,,,,,...
447,276,BD-18 359,LM,BD-18 359 A,31.2762752397911,-17.6154030660839,2016,107.297202475434,0.23074427,2020yCat.1350....0G,1275.21813918015,0.3042396,-169.701350384135,0.18918723,2020yCat.1350....0G,23.34,0.87,2002ApJS..141..503N,M3,2014MNRAS.443.2561G,Opt Spec,3,9.17051,,10.436235,8.0406685,12.86,11.705,10.189,9.141,7.851,6.542,5.898,5.662,2002ApJS..141..503N,,Gaia DR2 5138510181584617856,Gaia EDR3 5138510181584617856,BD-18 359,,GJ 84,,HIP 9724,...
448,276,BD-18 359,LM?,BD-18 359 B,31.2762752397911,-17.6154030660839,2016,107.297202475434,0.23074427,FROM:BD-18359A,1275.21813918015,0.3042396,-169.701350384135,0.18918723,FROM:BD-18 359,,,,,,,,,,,,,,,,,,,,2002ApJS..141..503N,,,,BD-18 359,,,,,Possible M dwarf. Resolved by 2004A&A...425..997B at 0.39 arcsec delta_H=3.59
449,277,2MASS J18212815+1414010,BD,2MASS J18212815+1414010,275.368366520794,14.2324732460506,2016,107.033899733581,0.18557437,2020yCat.1350....0G,227.571358286179,0.18187065,-247.228687615943,0.1982612,2020yCat.1350....0G,9.08,0.17,2016ApJS..225...10F,L5,2014AJ....147...34S,NIR Spec,3,18.677876,,21.348124,17.059792,,,,,,13.431,12.396,11.65,,,Gaia DR2 4485574134969389312,Gaia EDR3 4485574134969389312,2MASS J18212815+1414010,,,,,...
450,278,2MASS J03400942-6724051,BD,2MASSI J0340094-672405,55.0351353674701,-67.399012541424,2016,106.860187327298,0.43787384,2020yCat.1350....0G,-331.03835533715,0.654375,499.645019335562,0.7242561,2020yCat.1350....0G,,,,L7,2007AJ....133..439C,Opt Spec,3,20.07103,,21.70749,18.388159,,,,,,14.742,13.59,12.925,,,Gaia DR2 4667836363565989120,Gaia EDR3 4667836363565989120,2MASSI J0340094-672405,,,,,...
451,279,Ross 837,LM,Ross 837,209.556506424061,12.582063477437,2016,106.840440464399,0.041284353,2020yCat.1350....0G,-329.602982200676,0.041868787,720.342182054945,0.027624499,2020yCat.1350....0G,-10.131,0.025,2020A&A...636A..36L,M3.5,2013AJ....145..102L,Opt Spec,3,11.051151,,12.523735,9.863162,,13.91,,11.886,,8.269,7.687,7.439,,,Gaia DR2 3727747870210462464,Gaia EDR3 3727748630418376704,Ross 837,,GJ 3817,,,...
452,280,WISEPA J045853.89+643452.9,BD,WISEPA J045853.89+643452.9 A,74.725487,64.581763,2016.5,106.7,2.8,2021ApJS..253....7K,210.4,1,289.6,1,2021ApJS..253....7K,,,,T8.5,2012ApJ...745...26B,NIR Spec,20,,24.86,,,,,,,,,,,2011AJ....142...57G,,,,WISEPA J045853.89+643452.9,,,,,...
453,280,WISEPA J045853.89+643452.9,BD,WISEPA J045853.89+643452.9 B,74.725487,64.581763,2016.5,106.7,2.8,FROM:WISEPAJ045853.89+643452.9A,210.4,1,289.6,1,FROM:WISEPAJ045853.89+643452.9,,,,T9.5,2012ApJ...745...26B,NIR Spec,20,,24.86,,,,,,,,,,,2011AJ....142...57G,,,,WISEPA J045853.89+643452.9,,,,,...
454,281,CD-30 731,LM,CD-30 731,31.4496103340785,-30.17617825921,2016,106.609572300634,0.027331987,2020yCat.1350....0G,-525.190627743223,0.029572725,103.98124200102,0.026675195,2020yCat.1350....0G,36.9,10,1996AJ....112.2799H,M2.5,2006AJ....132..161G,Opt Spec,3,11.050699,,12.439058,9.891173,15.096,13.857,12.167,11.047,9.685,8.367,7.867,7.558,,,Gaia DR2 5020179503252128768,Gaia EDR3 5020179503252128768,CD-30 731,,GJ 3135,,HIP 9786,...
455,282,EGGR 41,WD,EGGR 41,69.448602435204,-8.82651621860676,2016,106.338989702496,0.015222114,2020yCat.1350....0G,238.38098733631,0.016594725,-1552.40798645751,0.01598522,2020yCat.1350....0G,,,,DQ8,2009AJ....138.1681S,Opt Spec,3,13.600672,,13.80703,13.237787,,14.24,14.1,,,13.01,12.91,12.763,,,Gaia DR2 3186021141200137472,Gaia EDR3 3186021141200137472,EGGR 41,,GJ 3306,,,...
456,283,WISEA J193054.55-205949.4,BD,WISEA J193054.55-205949.4,292.7248684,-20.9994605,2018.5,106.3,4.9,2021ApJS..253....7K,-1047.5,10.2,-1075.9,8,2021ApJS..253....7K,,,,>Y1,2020ApJ...899..123M,NIR Phot,20,,24.26,,,,,,,,,,,,,,,,,,,,...
457,284,GJ 748,LM,GJ 748 A,288.06873836796,2.88404781652,2016,106.2794,1.0634,2018yCat.1345....0G,1760.987,2.123,-554.092,2.249,2018yCat.1345....0G,-42.4,0.6,2006AstL...32..759G,M3.5e,2013AJ....145..102L,Opt Spec,3,9.885827,,11.305983,8.681918,13.722,12.663,11.143,10.016,8.534,7.087,6.572,6.294,2016AJ....152..141B,,Gaia DR2 4268226078065241600,Gaia EDR3 4268226078065241600,GJ 748,,GJ 748,,HIP 94349,...
458,284,GJ 748,LM?,GJ 748 B,288.06873836796,2.88404781652,2016,106.2794,1.0634,FROM:GJ748A,1760.987,2.123,-554.092,2.249,FROM:GJ748,,,,,,,,,,,,,,,,,,,,2016AJ....152..141B,,,,GJ 748,,,,,Possible M dwarf
459,285,CD-45 5378,LM,CD-45 5378,146.121371893361,-45.7790973511458,2016,106.172682186216,0.014093538,2020yCat.1350....0G,-462.620923411397,0.014188146,-582.667660301834,0.015172922,2020yCat.1350....0G,47.74,0.0005,2018A&A...616A...7S,M1,1995AJ....110.1838R,Opt Spec,3,9.158753,,10.373461,8.058181,12.278,11.372,9.979,9.019,7.829,6.632,6.045,5.78,,,Gaia DR2 5412250540681250560,Gaia EDR3 5412250540681250560,CD-45 5378,,GJ 367,,HIP 47780,...
460,286,L 678-39,LM,GJ 357,144.007485123335,-21.665200855258,2016,105.978909135584,0.022696694,2020yCat.1350....0G,138.721790962557,0.022582345,-990.341719068843,0.020470304,2020yCat.1350....0G,-34.556,0.0009,2018A&A...616A...7S,M2.5,2006AJ....132..161G,Opt Spec,3,9.891662,,11.169435,8.773195,13.647,12.48,10.906,9.858,8.577,7.34,6.74,6.475,,3,Gaia DR2 5664814198431308288,Gaia EDR3 5664814198431308288,L 678-39,,GJ 357,,HIP 47103,...
461,286,L 678-39,Planet,GJ 357 b,144.007485123335,-21.665200855258,2016,105.978909135584,0.022696694,FROM:GJ357,,,,,,,,,,,,,,,,,,,,,,,,,2020A&A...641A.113M,,,,,,,,,...
462,286,L 678-39,Planet,GJ 357 c,144.007485123335,-21.665200855258,2016,105.978909135584,0.022696694,FROM:GJ357,,,,,,,,,,,,,,,,,,,,,,,,,2019A&A...628A..39L,,,,,,,,,...
463,286,L 678-39,Planet,GJ 357 d,144.007485123335,-21.665200855258,2016,105.978909135584,0.022696694,FROM:GJ357,,,,,,,,,,,,,,,,,,,,,,,,,2019A&A...628A..39L,,,,,,,,,...
464,287,1RXS J115928.5-524717,LM,1RXS J115928.5-524717,179.856153096449,-52.7891614237341,2016,105.705233125262,0.09215584,2020yCat.1350....0G,-1068.44356834309,0.08912821,-129.304544589448,0.08690124,2020yCat.1350....0G,,,,M9e,2004A&A...415..265H,Opt Spec,3,16.039259,,19.590649,14.458276,,,,16.617,14.49,11.43,10.763,10.322,,,Gaia DR2 5368479017141170304,Gaia EDR3 5368479017141170304,1RXS J115928.5-524717,,,,,...
465,288,G 222-11,LM,G 222-11,92.5843217471115,82.1008162910066,2016,105.690347617797,0.014169129,2020yCat.1350....0G,50.2631812830326,0.016810235,-1336.24615658908,0.015856493,2020yCat.1350....0G,-1.614,0.0014,2018A&A...616A...7S,M2,2019A&A...625A..68S,Opt Spec,3,9.470075,,10.719857,8.35686,,12.214,,9.5,,6.869,6.295,6.061,,,Gaia DR2 1143321672882274560,Gaia EDR3 1143321672882274560,G 222-11,,GJ 226,,HIP 29277,...
466,289,UCAC4 379-100760,LM,UCAC4 379-100760,271.434474343446,-14.3783576255945,2016,105.522925807968,0.036142536,2020yCat.1350....0G,-344.870029400634,0.036109783,24.8703899197613,0.027819794,2020yCat.1350....0G,,,,M5.5,2015A&A...577A.128A,Opt Spec,3,13.255206,,15.560583,11.882206,,,,15.129,,9.777,9.209,8.861,,,Gaia DR2 4147112604476417792,Gaia EDR3 4147112604476417792,UCAC4 379-100760,,,,,...
467,290,HD 285968,LM,GJ 176,70.7354817380845,18.9532029263918,2016,105.427484171353,0.021029381,2020yCat.1350....0G,656.646958302907,0.027073016,-1116.59354136726,0.016278848,2020yCat.1350....0G,26.236,0.0006,2018A&A...616A...7S,M2,2019A&A...625A..68S,Opt Spec,3,9.004439,,10.210481,7.909447,12.668,11.49,9.951,8.931,7.702,6.462,5.824,5.607,,1,Gaia DR2 3409711211681795584,Gaia EDR3 3409711211681795584,HD 285968,,GJ 176,HD 285968,HIP 21932,GJ 176 c: unconfirmed planet
468,290,HD 285968,Planet,GJ 176 b,70.7354817380845,18.9532029263918,2016,105.427484171353,0.021029381,FROM:GJ176,,,,,,,,,,,,,,,,,,,,,,,,,2018A&A...609A.117T,,,,,,,,,...
469,291,CD-51 6859,LM,CD-51 6859,189.460097271298,-52.001346279109,2016,105.346664327665,0.021332793,2020yCat.1350....0G,-1034.71011499521,0.01854226,29.7922649319389,0.01669213,2020yCat.1350....0G,-5.639,0.0006,2018A&A...616A...7S,M3e,2006A&A...460..695T,Opt Spec,3,9.565008,,10.905962,8.416586,13.397,12.198,10.663,9.586,8.233,6.864,6.285,6.02,,,Gaia DR2 6078114541943893888,Gaia EDR3 6078114541943893888,CD-51 6859,,GJ 479,,HIP 61629,...
470,292,G 234-45,LM,GJ 3512,130.331590389547,59.4916586505363,2016,105.293505821315,0.031286426,2020yCat.1350....0G,-260.27618577042,0.02277689,-1279.56223354523,0.025852703,2020yCat.1350....0G,6.122,0.02,2020A&A...636A..36L,M5.5,2019A&A...625A..68S,Opt Spec,3,13.082282,,15.383262,11.712082,,16.98,,14.1,,9.615,8.996,8.668,,2,Gaia DR2 1040827088726734976,Gaia EDR3 1040827088726734976,G 234-45,,GJ 3512,,,...
471,292,G 234-45,Planet,GJ 3512 b,130.331590389547,59.4916586505363,2016,105.293505821315,0.031286426,FROM:GJ3512,,,,,,,,,,,,,,,,,,,,,,,,,2019Sci...365.1441M,,,,,,,,,...
472,292,G 234-45,Planet,GJ 3512 c,130.331590389547,59.4916586505363,2016,105.293505821315,0.031286426,FROM:GJ3512,,,,,,,,,,,,,,,,,,,,,,,,,2020AJ....160..273L,,,,,,,,,...
473,293,BPS CS 22879-0089,LM?,BPS CS 22879-0089 A,312.29111643391,-40.2017137819,2016,105.1555,0.2656,2018yCat.1345....0G,-67.709,0.346,-9.692,0.303,2018yCat.1345....0G,3.652,5.055,2013AJ....146..134K,,,,3,11.829141,,13.75682,10.519985,,15.29,13.53,13.23,,8.596,8.018,7.704,2018AJ....155..265H,,Gaia DR2 6678510081826546048,Gaia EDR3 6678510081826546048,BPS CS 22879-0089,,,,,Possible M dwarf
474,293,BPS CS 22879-0089,LM?,BPS CS 22879-0089 B,312.29111643391,-40.2017137819,2016,105.1555,0.2656,FROM:BPSCS22879-0089A,-67.709,0.346,-9.692,0.303,FROM:BPSCS22879-0089,,,,,,,,,,,,,,,,,,,,2018AJ....155..265H,,,,BPS CS 22879-0089,,,,,Possible M dwarf
475,294,L 35-12,LM,L 35-12,139.285587589273,-77.8267469746557,2016,105.033593743758,0.026477605,2020yCat.1350....0G,636.19229909663,0.037468106,-806.529281935491,0.03582386,2020yCat.1350....0G,,,,M4.5,2002AJ....123.2002H,Opt Spec,3,11.5566025,,13.409413,10.258115,,14.74,13.1,11.8,10.1,8.329,7.768,7.448,,,Gaia DR2 5203276810942065536,Gaia EDR3 5203276810942065536,L 35-12,,GJ 1123,,,...
476,295,G 192-15,LM,G 192-15,90.6221075851823,49.86182103676,2016,104.958964021033,0.034662623,2020yCat.1350....0G,67.3819958411366,0.03504719,-849.98764205615,0.027062858,2020yCat.1350....0G,20.259,0.02,2020A&A...636A..36L,M5,2015A&A...577A.128A,Opt Spec,3,12.681532,,14.749702,11.34499,,16.32,,13.4,,9.35,8.768,8.435,,,Gaia DR2 970354749937140736,Gaia EDR3 970354749937140736,G 192-15,,GJ 3380,,,...
477,296,G 144-25,LM,G 144-25,310.147188093923,15.5025901982037,2016,104.919010801769,0.0299567,2020yCat.1350....0G,1320.67868922133,0.025364675,662.146668730158,0.02449112,2020yCat.1350....0G,-59.782,0.024,2020A&A...636A..36L,M4.5,2015A&A...577A.128A,Opt Spec,3,11.837387,,13.685147,10.543046,,15.13,13.41,12.1,10.36,8.641,8.075,7.75,,,Gaia DR2 1810616448010879488,Gaia EDR3 1810616448010879488,G 144-25,,GJ 1256,,,...
478,297,BD+43 2796,LM,BD+43 2796,265.983242310133,43.3759302381889,2016,104.914746398948,0.017698266,2020yCat.1350....0G,10.3373551884181,0.020700373,-603.19829605652,0.022626968,2020yCat.1350....0G,-14.267,0.0021,2018A&A...616A...7S,M2.5,1995AJ....110.1838R,Opt Spec,3,9.450096,,10.72628,8.328486,,12.1,10.49,10.07,,6.812,6.221,5.964,,,Gaia DR2 1349047857580994560,Gaia EDR3 1349047857580994560,BD+43 2796,,GJ 694,,HIP 86776,2015ApJS..216....7B detected a background visual companion at 2.6 arcsec which is probably EDR3 1349047926299471360 with a 0.003 mas parallax
479,298,G 42-24,LM,G 42-24,148.478239712158,20.9480791788951,2016,104.76384886335,0.0356943,2020yCat.1350....0G,-345.972642785921,0.04158444,393.248968345767,0.050747205,2020yCat.1350....0G,-11.1,0.176,2018A&A...616A...7S,M4e,2015AJ....149..106D,Opt Spec,3,12.36353,,14.260421,11.062027,,15.4,,13.729,,9.208,8.6,8.326,,,Gaia DR2 628080246633611520,Gaia EDR3 628080246633611520,G 42-24,,GJ 3571,,,...
480,299,20 Crt,*,HD 100623 A,173.619315133616,-32.827684607058,2016,104.613288305855,0.027652346,2020yCat.1350....0G,-670.230162689604,0.035807688,822.399242834712,0.026112903,2020yCat.1350....0G,-22.021,0.0009,2018A&A...616A...7S,K0,2006AJ....132..161G,Opt Spec,3,5.7383237,,6.154197,5.1501684,,6.79,5.98,7.17,,4.78,4.14,4.02,2017A&A...602A..16T,,Gaia DR2 3478127463341507072,Gaia EDR3 3478127463341507072,HD 100623,,GJ 432 A,HD 100623 A,HIP 56452,...
481,299,20 Crt,WD,HD 100623 B,173.623278511917,-32.830317252418,2016,104.657035692379,0.026720122,2020yCat.1350....0G,-701.802332534246,0.032080773,828.928287699144,0.01982075,2020yCat.1350....0G,,,,DC,2009AJ....138.1681S,Opt Spec,3,14.548313,,14.917825,13.980828,,17,15,,,,,,2017A&A...602A..16T,,Gaia DR2 3478127467639543296,Gaia EDR3 3478127467639543296,HD 100623B,,GJ 432 B,HD 100623 B,,...
482,300,Wolf 1069,LM,Wolf 1069,306.524317260189,58.5753797154597,2016,104.441458260681,0.026091075,2020yCat.1350....0G,261.037647532725,0.032296695,542.905592839083,0.031316657,2020yCat.1350....0G,-60.047,0.02,2020A&A...636A..36L,M5,2019A&A...625A..68S,Opt Spec,3,12.352267,,14.367921,11.026613,,15.83,,13.811,,9.029,8.483,8.095,,,Gaia DR2 2188318517720321664,Gaia EDR3 2188318517720321664,Wolf 1069,,GJ 1253,,,...
483,301,61 UMa,*,61 UMa,175.262500506184,34.199939575437,2016,104.425170414964,0.100499645,2020yCat.1350....0G,-12.521605057438,0.08807292,-381.195871481711,0.14160061,2020yCat.1350....0G,-5.18,0.08,2002ApJS..141..503N,G8,2003AJ....126.2048G,Opt Spec,3,5.1109953,,5.4871893,4.581154,6.31,6.08,5.34,4.73,4.38,4.01,3.61,3.588,,,Gaia DR2 4025850731201819392,Gaia EDR3 4025850731201819392,61 UMa,,GJ 434,HD 101501,HIP 56997,...
484,302,PM J20502-3424,LM,PM J20502-3424,312.569141679373,-34.4131531760934,2016,104.131011015638,0.03460256,2020yCat.1350....0G,335.76897981214,0.0363569,-297.036190734151,0.032257777,2020yCat.1350....0G,,,,M5e,2014MNRAS.443.2561G,Opt Spec,3,12.0486,,13.935938,10.752785,,,13.88,13.29,,8.821,8.272,7.997,,,Gaia DR2 6779821003058453120,Gaia EDR3 6779821003058453120,PM J20502-3424,,,,,...
485,303,CD-40 5404,LM,CD-40 5404,144.940095789287,-41.0659699836081,2016,104.095743316414,0.017555553,2020yCat.1350....0G,-527.147249874895,0.016793549,357.039424126662,0.017592795,2020yCat.1350....0G,18.528,0.0016,2018A&A...616A...7S,M3,2002AJ....123.2002H,Opt Spec,3,9.631405,,11.003457,8.471009,13.395,12.215,10.694,9.617,8.231,6.902,6.321,6.056,,,Gaia DR2 5425628298649940608,Gaia EDR3 5425628298649940608,CD-40 5404,,GJ 358,,,Listed as a Tycho double Star (TDS 6725) with 0.6 arcsec separation however 2012ApJ...754...44J fail to reveal a companion and its parallax accuracy (0.017) raises doubt about a possible binarity
486,304,WISE J114156.71-332635.8,BD,WISE J114156.71-332635.8,175.484176,-33.443308,2017.5,104,2.9,2021ApJS..253....7K,-910.9,1.9,-76.4,1.8,2021ApJS..253....7K,,,,Y0,2017ApJ...842..118L,NIR Spec,20,,24.88,,,,,,,,19.63,20.15,,,,,,WISE J114156.71-332635.8,,,,,...
487,305,Wolf 227,LM,Wolf 227 A,58.1759794360942,17.0149566297534,2016,103.500794054573,0.08819867,2020yCat.1350....0G,433.182994699696,0.106628865,-645.368618669484,0.06898687,2020yCat.1350....0G,28,5,2014AJ....147...20N,M5,2014AJ....147...20N,NIR Spec,3,12.176142,,14.07321,10.8709,,15.4,,13.463,,8.933,8.375,8.053,2018A&A...614A..76J,,Gaia DR2 43574131143039104,Gaia EDR3 43574131143039104,Wolf 227,,GJ 3253,,,...
488,305,Wolf 227,BD?,Wolf 227 B,58.1759794360942,17.0149566297534,2016,103.500794054573,0.08819867,FROM:Wolf227A,433.182994699696,0.106628865,-645.368618669484,0.06898687,FROM:Wolf227,,,,,,,,,,,,,,,,,,,,2018A&A...614A..76J,,,,Wolf 227,,,,,2018AJ....155..125W states it may be a brown dwarf from its mass estimate
489,306,2MASS J14053729+8350248,BD,2MASS J14053729+8350248,211.379275279667,83.8427056014529,2016,103.44742930703,0.4872679,2020yCat.1350....0G,-623.66838398736,0.5809773,561.308795400231,0.58971304,2020yCat.1350....0G,,,,L8,2014A&A...567A..43S,NIR Spec,3,20.13834,,20.872606,18.363949,,,,,,14.63,13.491,12.848,,,Gaia DR2 1725759404752580736,Gaia EDR3 1725759404752580736,2MASS J14053729+8350248,,,,,...
490,307,G 161-7,LM,G 161-7 A,138.899843913978,-10.597288285499,2016,103.33,1,2017AJ....154..151B,-395,8,-193,8,2003ApJ...582.1011S,20.191,12.32,2013AJ....146..134K,M5,2015A&A...577A.128A,Opt Spec,3,12.005,,14.03601,10.615811,,15.64,13.8,13.473,10.42,8.605,8.074,7.733,2006A&A...460L..19M,,Gaia DR2 5742299050967060352,Gaia EDR3 5742299050967060352,G 161-7,,,,,...
491,307,G 161-7,LM,G 161-7 B,138.899843913978,-10.597288285499,2016,103.33,1,FROM:G161-7A,-395,8,-193,8,FROM:G161-7,,,,M5,2006A&A...460L..19M,NIR Phot,10,,11.94,,,,,,,,,,,2006A&A...460L..19M,,,,G 161-7,,,,,...
492,308,CD-48 11837,LM,CD-48 11837 A,263.807236982619,-48.6787774307891,2016,103.308053194355,0.021558356,2020yCat.1350....0G,74.0691562363136,0.024321679,470.16581543001,0.014680631,2020yCat.1350....0G,-22.938,0.001,2018A&A...616A...7S,M3,2006AJ....132..161G,Opt Spec,3,9.293614,,10.480064,8.208224,12.875,11.673,10.127,9.101,7.871,6.667,6.08,5.829,2015MNRAS.449.2618W,,Gaia DR2 5946986063684477056,Gaia EDR3 5946986063684477056,CD-48 11837,,GJ 680,,HIP 86057,...
493,308,CD-48 11837,LM?,CD-48 11837 B,263.805946662131,-48.6778040188591,2016,103.202705055613,0.046161182,2020yCat.1350....0G,-8.65834977880175,0.05029893,501.749117921058,0.031746414,2020yCat.1350....0G,,,,,,,3,11.613846,,13.205047,10.35664,,,,,,,,,2015MNRAS.449.2618W,,Gaia DR2 5946986063671469824,Gaia EDR3 5946986063671469824,CD-48 11837 B,,,,,Possible M dwarf
